text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @DeficioEgo: #Worlds2019 https://t.co/XA3Q6ak98I,FALSE,0,NA,2019-10-27T01:46:35Z,FALSE,NA,1188270736076673025,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",androgynousimo,135,TRUE,FALSE,NA,NA
RT @FNATIC: Well... #Worlds2019 https://t.co/Jv0duCagJn,FALSE,0,NA,2019-10-27T01:46:25Z,FALSE,NA,1188270695064711170,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SoyHagan,1561,TRUE,FALSE,NA,NA
RT @G2esports: Celebrating 3-0 weekend #Worlds2019 https://t.co/gTfXeQi7g0,FALSE,0,NA,2019-10-27T01:46:15Z,FALSE,NA,1188270655046737920,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",C9_Aaron,214,TRUE,FALSE,NA,NA
#Worlds2019 For fuck’s sake fellas stop spitting!  I can’t take it.,FALSE,0,NA,2019-10-27T01:45:54Z,FALSE,NA,1188270564357500928,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",will__weaver,0,FALSE,FALSE,NA,NA
"RT @RiotJatt: What a day for the LPL. After only getting two teams out of groups, they go 2-0 today and force an FPX vs. iG semi-final, whi…",FALSE,0,NA,2019-10-27T01:45:49Z,FALSE,NA,1188270545395048449,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ErieannaLoL,35,TRUE,FALSE,NA,NA
"RT @lolesports: Welcome back to Madrid 🇪🇸, @FNATIC! #Worlds2019 https://t.co/FelUYcvOD7",FALSE,0,NA,2019-10-27T01:45:33Z,FALSE,NA,1188270475916525568,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mircasso,207,TRUE,FALSE,NA,NA
RT @sjokz: VAMOS! #WORLDS2019 🇪🇸 https://t.co/4xxh5oCVSI,FALSE,0,NA,2019-10-27T01:45:00Z,FALSE,NA,1188270338095771650,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Kutarrax,1302,TRUE,FALSE,NA,NA
"RT @lolesportsbr: Armoooou... PEY! #Worlds2019 

AO VIVO 🔴 https://t.co/HN3sSYiNvX https://t.co/cWjxKnDWcq",FALSE,0,NA,2019-10-27T01:44:06Z,FALSE,NA,1188270112803041280,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Ccrycius,40,TRUE,FALSE,NA,NA
@darrenrovell I’m guessing #MattressMack is feeling better about now! @astros #Worlds2019,FALSE,0,darrenrovell,2019-10-27T01:43:24Z,FALSE,NA,1188269934473699329,24277551,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",thetoyman1,0,FALSE,FALSE,NA,NA
RT @sjokz: VAMOS! #WORLDS2019 🇪🇸 https://t.co/4xxh5oCVSI,FALSE,0,NA,2019-10-27T01:43:21Z,FALSE,NA,1188269923711291392,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",lel0x,1302,TRUE,FALSE,NA,NA
